name,lat,long,review,cusine,num_rate,cost_one,Location
Theobroma,12.99867,77.61548,11,"bakery, desserts, beverages",4.3,200,frazer town
Aroma's Hyderabad House,12.948674,77.69888,136,"biryani, mughlai, north indian, chinese, kebab, beverages",3.8,300,marathahalli
Siddique Kabab Centre,12.99346322,77.60852728,553,"mughlai, chinese, north indian, rolls, sichuan",3.9,300,frazer town
Ghee And Turmeric,12.993881,77.663595,248,north indian,4.1,300,cv raman nagar
ZAZA 22 Spice Awadhi Biryani,12.98061,77.64638,792,"biryani, mughlai, north indian",4,300,indiranagar
NH1 Bowls - Highway To North,12.98061,77.64638,518,"north indian, kebab, desserts",4.4,300,indiranagar
New Udupi Grand,12.9679584,77.65246287,14,"south indian, north indian, chinese, street food, beverages, shake",3.9,300,jeevan bhima nagar
WOW! China,12.97500348,77.6048379,26,"chinese, rolls, seafood, desserts, shake, sichuan",3.9,300,church street
The Biryani Life,12.97136122,77.65834395,315,"biryani, kebab, hyderabadi, lucknowi",3.7,300,thippasandra
Samosa Party,12.9587153,77.65475578,1,"street food, beverages",4.2,300,old airport road
7 Plates,12.99708032,77.60389309,3118,"north indian, mughlai, rolls, chinese",4.1,300,frazer town
UBQ By Barbeque Nation,12.97362,77.62117,1371,"north indian, bbq, biryani, kebab",3.6,300,ulsoor
Smoor,12.97344014,77.62022104,556,"bakery, desserts",4.4,300,near mg road
The Dessert Heaven - Pure Veg,13.007994,77.641945,20,"desserts, bakery",3.9,250,banaswadi
Kaati Zone Rolls and Wraps,12.98396448,77.67860804,1393,"rolls, fast food, beverages, wraps, desserts, shake",4,250,kaggadasapura
Chai Point,12.97327286,77.61669226,4611,"tea, beverages, shake, fast food, rolls, desserts, coffee",4,250,mg road
Ludos Pizza,12.968125,77.6507868,570,"pizza, fast food",4.2,250,jeevan bhima nagar
Delicacy,12.99846318,77.61770613,273,"chinese, thai",3.9,250,frazer town
Chinese BAE,12.9677649,77.6545273,526,"chinese, seafood, momos, sichuan",4.1,250,jeevan bhima nagar
Donne Biryani Mane,12.93687673,77.62767591,11,"biryani, south indian",4,250,koramangala 4th block
The Good Bowl,12.97125634,77.65838351,2057,"north indian, pasta, italian",4,250,thippasandra
Momoz,12.9677649,77.6545273,1035,"chinese, momos, burger, sichuan",3.8,250,jeevan bhima nagar
Mealful Rolls - India's Biggest Rolls,12.98061,77.64638,525,"rolls, fast food, north indian, desserts, beverages",4.3,250,indiranagar
Biggies Burger,12.9951881,77.6142152,43,"fast food, burger, beverages",3.9,250,frazer town
99 Variety Dosa & Pav Bhaji,12.93684013,77.62756359,162,"south indian, maharashtrian",3.7,250,koramangala 6th block
Keventers - Milkshakes & Desserts,12.9702092,77.60921158,22,"shake, beverages, ice cream",4.3,250,near brigade road
Mad Over Donuts,12.97050325,77.60930311,159,"desserts, waffle, beverages",4.1,250,brigade road
FB Cakes,12.956512,77.696509,230,bakery,3.8,250,marathahalli
ITC Master Chef Creations,12.99804274,77.62810338,505,"north indian, biryani, mughlai, kebab, rolls, desserts, modern indian",4.1,250,banaswadi
Ambur Biryani Point,12.92773921,77.63736337,22,biryani,4.3,250,koramangala 1st block
Chung Wah,12.97388317,77.60943722,353,"chinese, thai, vietnamese, sichuan",4.1,250,residency road
Donne Biriyani House,13.01081745,77.63507444,2633,"biryani, south indian",3.5,250,kammanahalli
Laddoos,12.967889,77.652837,203,"mithai, north indian, street food",3.9,250,jeevan bhima nagar
Chaayos Chai+Snacks=Relax,12.9795016,77.6580343,397,"tea, beverages",4.2,250,cv raman nagar
Cream Stone Ice Cream,13.0005875,77.6153902,100,"ice cream, desserts, beverages, shake",4,250,frazer town
Cupcake Bliss Cakes & Desserts,12.98409581,77.67850477,1045,"bakery, desserts",4,250,kaggadasapura
Yumlane Pizza,12.96941716,77.68267161,45,"pizza, fast food, desserts, beverages",3.3,250,kaggadasapura
Starbucks Coffee,12.97285074,77.61852052,67,"cafe, beverages, desserts",3.9,300,mg road
Krispy Kreme,12.9669276,77.6115022,60,"desserts, beverages",4.5,300,richmond road
Momo Zone - The Momo Company,12.984222,77.678224,237,"chinese, tibetan",3.9,300,kaggadasapura
Just Shawarma,13.01577362,77.63920739,76,"lebanese, fast food, beverages",3.6,300,kalyan nagar
IDC Kitchen,12.96593989,77.59453185,31,"south indian, beverages",4.1,300,residency road
Donne Biriyani Mane,12.99225217,77.66395178,32,"biryani, south indian, chinese, north indian, seafood",3.2,300,cv raman nagar
Sweet Truth - Cake and Desserts,12.97125961,77.6584043,740,"desserts, bakery",4.1,300,thippasandra
ibaco,12.96772871,77.60663096,107,"ice cream, bakery, desserts",4.4,300,brigade road
Itminaan Matka Biryani - Slow Cooked,12.980606,77.646376,570,"biryani, north indian, desserts",4.2,300,indiranagar
